Dgraph Name,Reason 1,Reason 2,Reason 3,Reason 4,New Name,Comment
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501B.A.phsC.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501B.A.phsC.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501B.PPV.phsAB.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501B.PPV.phsAB.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501B.PPV.phsBC.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501B.PPV.phsBC.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501B.PPV.phsCA.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501B.PPV.phsCA.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.HVS.C-80EH501-UC03_ActivePower.Watt.mag,Auxiliary Power System -> AuxiliarySystem,MVS instead of HVS,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EH501-UC03_ActivePower.Watt.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.HVS.C-80EH501.A.phsA.cVal.mag,Auxiliary Power System -> AuxiliarySystem,MVS instead of HVS,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EH501.A.phsA.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.HVS.C-80EH501.A.phsB.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EH501.A.phsB.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.HVS.C-80EH501.A.phsC.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EH501.A.phsC.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.HVS.C-80EH501.PPV.phsAB.cVal.mag,Auxiliary Power System -> AuxiliarySystem,MVS instead of HVS,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EH501.PPV.phsAB.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.HVS.C-80EH501.PPV.phsBC.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EH501.PPV.phsBC.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.HVS.C-80EH501.PPV.phsCA.cVal.mag,Auxiliary Power System -> AuxiliarySystem,MVS instead of HVS,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EH501.PPV.phsCA.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.MVS.C-80EM501-UC03_ActivePower.Watt.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EM501-UC03_ActivePower.Watt.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.MVS.C-80EM501.A.phsA.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EM501.A.phsA.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.MVS.C-80EM501.A.phsB.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EM501.A.phsB.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.MVS.C-80EM501.A.phsC.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EM501.A.phsC.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.MVS.C-80EM501.PPV.phsAB.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EM501.PPV.phsAB.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.MVS.C-80EM501.PPV.phsBC.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EM501.PPV.phsBC.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.MVS.C-80EM501.PPV.phsCA.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EM501.PPV.phsCA.cVal.mag,
DBA.OCS.OFTO.TrafoAux.AgeRte.mag,Add HVDC.AuxiliarySystem.TransformerAging,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoAux.AgeRte.mag,
DBA.OCS.OFTO.TrafoAux.HPTmpClc.mag,Add HVDC.AuxiliarySystem.TransformerAging,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoAux.HPTmpClc.mag,
DBA.OCS.OFTO.TrafoAuxWindingAgingFactor.HaTdFact.mag,Add HVDC.AuxiliarySystem.TransformerAging,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoAuxWindingAgingFactor.HaTdFact.mag,
DBA.OCS.OFTO.TrafoHV.AgeRte.mag,Add HVDC.AuxiliarySystem.TransformerAging,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoHV.AgeRte.mag,
