Dgraph Name,New Name
DBA.WTUR.B08DC.WGEN.GnClAlm.stVal,DBA.WTUR.StringD.B08DC.WGEN.GnClAlm.st.stVal
DBA.WTUR.P21HF.WTRF.P21HF_Hydran.H2OppmHiHi.stVal,DBA.WTUR.StringH.P21HF.WTRF.Hydran.H2OppmHiHi.stVal
DBA.WTUR.P48AE.WTRF.P48AE_Hydran.H2OTmp.mag,DBA.WTUR.StringA.P48AE.WTRF.Hydran.H2OTmp.mag
DBA.WTUR.StringA.P49AF.WTUR.ElectricalProtSysAlm.stVal,DBA.WTUR.StringA.P49AF.WTUR.ElectricalProtSysAlm.st.stVal
DBA.WTUR.E03MB.WTOW.CWO2PwrHi.stVal,DBA.WTUR.StringM.E03MB.WTOW.CWO2PwrHi.stVal
DBA.WTUR.P29LD.WGEN.VFD1OffSt.stVal,DBA.WTUR.StringL.P29LD.WGEN.VFD1OffSt.stVal
DBA.WTUR.P24KF.WTRF.TrfOilTmp.mag,DBA.WTUR.StringK.P24KF.WTRF.TrfOilTmp.mag
DBA.WTUR.E01MD.WTRF.E01MD_Hydran.Alm4RelaySt.stVal,DBA.WTUR.StringM.E01MD.WTRF.Hydran.Alm4RelaySt.stVal
DBA.WTUR.P27KC.WNAC.NacSt.stVal,DBA.WTUR.StringK.P27KC.WNAC.NacelleSt.st.stVal
DBA.WTUR.P27KC.WGEN.RsCmdSCADAHMI.stVal,DBA.WTUR.StringK.P27KC.WGEN.RsCmdSCADAHMI.stVal
DBA.WTUR.P21HF.WGEN.VFD9OffSt.stVal,DBA.WTUR.StringH.P21HF.WGEN.VFD9OffSt.stVal
DBA.WTUR.A08CC.WGEN.StrCmdSCADAHMI.stVal,DBA.WTUR.StringC.A08CC.WGEN.StrCmdSCADAHMI.stVal
DBA.WTUR.P18HC.WTUR.TurStSCADAM6eWebHMI.stVal,DBA.WTUR.StringH.P18HC.WTUR.TurStSCADAM6eWebHMI.st.stVal
DBA.WTUR.P53CD.WTRF.P53CD_Hydran.SysFltAlm.stVal,DBA.WTUR.StringC.P53CD.WTRF.Hydran.SysFltAlm.stVal
DBA.WTUR.StringH.P19HD.WTUR.TurDateTm.mag,DBA.WTUR.StringH.P19HD.WTUR.TurDateTm.mag
