Dgraph Name,New Name,createdTimeNewTag
DBA.OCS.OFTO.T2AXC1B1_OffState.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Offstate.Ind.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_SevereFault.Wrn.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Severefault.Wrn.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.T2AXC1B1_SevereFault.Wrn.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Severefault.Wrn.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.T2AXC1B1_StandbyState.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_StandbyState.Ind.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.T2AXC1B1_Temperature.TmpSv.instMag,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Temperature.TmpSv.instMag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.Trafo.C-82ET529A_AuxTrafoWindingtemp.TmpSv.instMag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.AuxiliaryTransformer.C-82ET529A_AuxTrafoWindingtemp.TmpSv.instMag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.Trafo.C-82ET529B_AuxTrafoWindingtemp.TmpSv.instMag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.AuxiliaryTransformer.C-82ET529B_AuxTrafoWindingtemp.TmpSv.instMag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501A-UC1_ActivePower.Watt.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501A-UC1_ActivePower.Watt.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501A-UC1_QA1BreakerStatus.Pos.stVal,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501A-UC1_QA1BreakerStatus.Ind.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501A.A.phsA.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501A.A.phsA.cVal.mag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501A.A.phsB.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501A.A.phsB.cVal.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501A.A.phsC.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501A.A.phsC.cVal.mag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501A.PPV.phsAB.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501A.PPV.phsAB.cVal.mag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501A.PPV.phsBC.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501A.PPV.phsBC.cVal.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501A.PPV.phsCA.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501A.PPV.phsCA.cVal.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501B-UC2_ActivePower.Watt.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501B-UC2_ActivePower.Watt.mag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501B-UC2_QA1BreakerStatus.Pos.stVal,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501B-UC2_QA1BreakerStatus.Ind.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501B.A.phsA.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501B.A.phsA.cVal.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501B.A.phsB.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501B.A.phsB.cVal.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501B.A.phsC.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501B.A.phsC.cVal.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501B.PPV.phsAB.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501B.PPV.phsAB.cVal.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501B.PPV.phsBC.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501B.PPV.phsBC.cVal.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501B.PPV.phsCA.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501B.PPV.phsCA.cVal.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.HVS.C-80EH501-UC03_ActivePower.Watt.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EH501-UC03_ActivePower.Watt.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.HVS.C-80EH501.A.phsA.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EH501.A.phsA.cVal.mag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.HVS.C-80EH501.A.phsB.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EH501.A.phsB.cVal.mag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.HVS.C-80EH501.A.phsC.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EH501.A.phsC.cVal.mag,2024-02-29 23:59:59.999999
